Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Cash,Capital,InOutCash,Bench
2017-09-21,DIA,127.00002084621983,0.0,223.47,XLP,339.71905899180143,0.0,54.08,0.0,46752,0,152.484
2017-09-22,DIA,127.00002084621983,0.0,223.2,XLP,339.71905899180143,0.0,53.92,0.0,46664,0,152.344
2017-09-25,DIA,127.00002084621983,0.0,222.82,XLP,339.71905899180143,0.0,54.31,0.0,46748,0,150.824
2017-09-26,DIA,127.00002084621983,0.0,222.69,XLP,339.71905899180143,0.0,54.44,0.0,46775,0,151.194
2017-09-27,DIA,127.00002084621983,0.0,223.12,XLP,339.71905899180143,0.0,54.02,0.0,46687,0,152.484
2017-09-28,DIA,127.00002084621983,0.0,223.6,XLP,339.71905899180143,0.0,54.02,0.0,46748,0,152.434
2017-09-29,DIA,125.78022713003632,0.0,223.82,XLP,347.6859384493606,0.0,53.98,0.0,46920,0,153.474
2017-10-02,DIA,125.78022713003632,0.0,225.24,XLP,347.6859384493606,0.0,53.88,0.0,47064,0,153.604
2017-10-03,DIA,125.78022713003632,0.0,226.24,XLP,347.6859384493606,0.0,53.94,0.0,47210,0,153.914
2017-10-04,DIA,125.78022713003632,0.0,226.41,XLP,347.6859384493606,0.0,54.11,0.0,47291,0,154.054
2017-10-05,DIA,125.78022713003632,0.0,227.64,XLP,347.6859384493606,0.0,54.35,0.0,47529,0,155.484
2017-10-06,DIA,125.78022713003632,0.0,227.55,XLP,347.6859384493606,0.0,53.81,0.0,47330,0,155.684
2017-10-09,DIA,125.78022713003632,0.0,227.53,XLP,347.6859384493606,0.0,53.66,0.0,47275,0,155.514
2017-10-10,DIA,125.78022713003632,0.0,228.26,XLP,347.6859384493606,0.0,54.13,0.0,47530,0,155.624
2017-10-11,DIA,125.78022713003632,0.0,228.61,XLP,347.6859384493606,0.0,54.24,0.0,47613,0,156.064
2017-10-12,DIA,125.78022713003632,0.0,228.33,XLP,347.6859384493606,0.0,54.47,0.0,47657,0,155.794
2017-10-13,DIA,125.78022713003632,0.0,228.73,XLP,347.6859384493606,0.0,54.57,0.0,47742,0,156.364
2017-10-16,DIA,125.78022713003632,0.0,229.45,XLP,347.6859384493606,0.0,54.59,0.0,47840,0,156.874
2017-10-17,DIA,125.78022713003632,0.0,229.85,XLP,347.6859384493606,0.0,54.39,0.0,47821,0,157.064
2017-10-18,DIA,125.78022713003632,0.0,231.46,XLP,347.6859384493606,0.0,54.32,0.0,47999,0,156.88400000000001
2017-10-19,DIA,125.78022713003632,0.0,231.65,XLP,347.6859384493606,0.0,54.03,0.0,47922,0,156.334
2017-10-20,DIA,125.78022713003632,0.183,233.13,XLP,347.6859384493606,0.0,53.9,0.0,48063,0,156.734
2017-10-23,DIA,125.78022713003632,0.0,232.65,XLP,347.6859384493606,0.0,53.86,0.0,47989,0,155.764
2017-10-24,DIA,125.78022713003632,0.0,234.29,XLP,347.6859384493606,0.0,53.67,0.0,48129,0,156.014
2017-10-25,DIA,125.78022713003632,0.0,233.16,XLP,347.6859384493606,0.0,53.52,0.0,47935,0,155.454
2017-10-26,DIA,125.78022713003632,0.0,233.85,XLP,347.6859384493606,0.0,53.56,0.0,48035,0,154.984
2017-10-27,DIA,125.78022713003632,0.0,234.17,XLP,347.6859384493606,0.0,53.1,0.0,47916,0,159.264
2017-10-30,DIA,125.78022713003632,0.0,233.33,XLP,347.6859384493606,0.0,52.65,0.0,47653,0,159.604
2017-10-31,QQQ,188.73829092711972,0.0,152.15,FBT,158.1263234192961,0.0,121.07,0.0,47860,0,160.174
2017-11-01,QQQ,188.73829092711972,0.0,152.1,FBT,158.1263234192961,0.0,120.46,0.0,47754,0,160.124
2017-11-02,QQQ,188.73829092711972,0.0,151.81,FBT,158.1263234192961,0.0,122.17,0.0,47970,0,159.834
2017-11-03,QQQ,188.73829092711972,0.0,153.27,FBT,158.1263234192961,0.0,123.98,0.0,48532,0,161.294
2017-11-06,QQQ,188.73829092711972,0.0,153.79,FBT,158.1263234192961,0.0,122.53,0.0,48401,0,161.814
2017-11-07,QQQ,188.73829092711972,0.0,153.88,FBT,158.1263234192961,0.0,122.14,0.0,48356,0,161.904
2017-11-08,QQQ,188.73829092711972,0.0,154.5,FBT,158.1263234192961,0.0,122.32,0.0,48502,0,162.524
2017-11-09,QQQ,188.73829092711972,0.0,153.69,FBT,158.1263234192961,0.0,121.3,0.0,48187,0,161.714
2017-11-10,QQQ,188.73829092711972,0.0,153.68,FBT,158.1263234192961,0.0,120.57,0.0,48070,0,161.704
2017-11-13,QQQ,188.73829092711972,0.0,153.87,FBT,158.1263234192961,0.0,120.4,0.0,48079,0,161.894
2017-11-14,QQQ,188.73829092711972,0.0,153.31,FBT,158.1263234192961,0.0,119.22,0.0,47787,0,161.334
2017-11-15,QQQ,188.73829092711972,0.0,152.59,FBT,158.1263234192961,0.0,120.14,0.0,47796,0,160.614
2017-11-16,QQQ,188.73829092711972,0.0,154.54,FBT,158.1263234192961,0.0,122.07,0.0,48470,0,162.564
2017-11-17,QQQ,188.73829092711972,0.0,153.95,FBT,158.1263234192961,0.0,122.39,0.0,48409,0,161.974
2017-11-20,QQQ,188.73829092711972,0.0,153.83,FBT,158.1263234192961,0.0,121.64,0.0,48268,0,161.854
2017-11-21,QQQ,188.73829092711972,0.0,155.5,FBT,158.1263234192961,0.0,123.21,0.0,48831,0,163.524
2017-11-22,QQQ,188.73829092711972,0.0,155.69,FBT,158.1263234192961,0.0,123.69,0.0,48943,0,163.714
2017-11-24,QQQ,188.73829092711972,0.0,156.26,FBT,158.1263234192961,0.0,124.34,0.0,49153,0,164.284
2017-11-27,QQQ,188.73829092711972,0.0,156.19,FBT,158.1263234192961,0.0,122.96,0.0,48922,0,164.214
2017-11-28,QQQ,188.73829092711972,0.0,156.59,FBT,158.1263234192961,0.0,122.7,0.0,48956,0,164.614
2017-11-29,QQQ,188.73829092711972,0.0,153.86,FBT,158.1263234192961,0.0,123.14,0.0,48510,0,161.88400000000001
2017-11-30,DIA,121.3246292684936,0.0,242.84,XLP,350.43084117229847,0.0,56.05,0.0,49104,0,163.174
2017-12-01,DIA,121.3246292684936,0.0,242.45,XLP,350.43084117229847,0.0,56.19,0.0,49105,0,162.514
2017-12-04,DIA,121.3246292684936,0.0,243.11,XLP,350.43084117229847,0.0,56.72,0.0,49371,0,160.734
2017-12-05,DIA,121.3246292684936,0.0,242.01,XLP,350.43084117229847,0.0,56.63,0.0,49206,0,160.834
2017-12-06,DIA,121.3246292684936,0.0,241.62,XLP,350.43084117229847,0.0,56.99,0.0,49285,0,161.524
2017-12-07,DIA,121.3246292684936,0.0,242.36,XLP,350.43084117229847,0.0,56.44,0.0,49182,0,162.044
2017-12-08,DIA,121.3246292684936,0.0,243.62,XLP,350.43084117229847,0.0,56.59,0.0,49387,0,162.724
2017-12-11,DIA,121.3246292684936,0.0,244.17,XLP,350.43084117229847,0.0,56.58,0.0,49451,0,163.924
2017-12-12,DIA,121.3246292684936,0.0,245.44,XLP,350.43084117229847,0.0,56.59,0.0,49608,0,163.714
2017-12-13,DIA,121.3246292684936,0.0,246.3,XLP,350.43084117229847,0.0,56.91,0.0,49825,0,164.014
2017-12-14,DIA,121.3246292684936,0.0,245.57,XLP,350.43084117229847,0.0,56.66,0.0,49649,0,163.904
2017-12-15,DIA,121.3246292684936,0.561,246.25,XLP,350.43084117229847,0.418,56.88,0.0,49808,0,165.674
