Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2017-07-31,FBT,11.907346007045957,0.0,116.13,FDN,18.648057608283565,0.0,98.87,IGV,12.970337360049216,0.0,142.15,IHI,8.40812411405963,0.0,164.46,ITA,16.77137770525466,0.0,164.9,TLT,24.154037935850276,0.0,124.04,0,0.0,0.0,0.0,-691.400045899124,11523,0,150.935
2017-08-01,FBT,11.907346007045957,0.0,115.04,FDN,18.648057608283565,0.0,98.99,IGV,12.970337360049216,0.0,142.63,IHI,8.40812411405963,0.0,164.01,ITA,16.77137770525466,0.0,165.71,TLT,24.154037935850276,0.269,124.64,0,0.0,0.0,0.0,-691.400045899124,11543,0,151.26500000000001
2017-08-02,FBT,11.907346007045957,0.0,115.68,FDN,18.648057608283565,0.0,98.2,IGV,12.970337360049216,0.0,140.8,IHI,8.40812411405963,0.0,163.07,ITA,16.77137770525466,0.0,166.59,TLT,24.154037935850276,0.0,124.71,0,0.0,0.0,0.0,-691.400045899124,11520,0,151.655
2017-08-03,FBT,11.907346007045957,0.0,115.73,FDN,18.648057608283565,0.0,98.36,IGV,12.970337360049216,0.0,141.64,IHI,8.40812411405963,0.0,163.16,ITA,16.77137770525466,0.0,167.81,TLT,24.154037935850276,0.0,126.0,0,0.0,0.0,0.0,-691.400045899124,11587,0,151.095
2017-08-04,FBT,11.907346007045957,0.0,116.54,FDN,18.648057608283565,0.0,99.07,IGV,12.970337360049216,0.0,141.56,IHI,8.40812411405963,0.0,163.26,ITA,16.77137770525466,0.0,167.96,TLT,24.154037935850276,0.0,124.93,0,0.0,0.0,0.0,-691.400045899124,11587,0,151.35500000000002
2017-08-07,FBT,11.907346007045957,0.0,117.27,FDN,18.648057608283565,0.0,99.69,IGV,12.970337360049216,0.0,141.55,IHI,8.40812411405963,0.0,163.97,ITA,16.77137770525466,0.0,168.55,TLT,24.154037935850276,0.0,125.07,0,0.0,0.0,0.0,-691.400045899124,11626,0,152.26500000000001
2017-08-08,FBT,11.907346007045957,0.0,115.39,FDN,18.648057608283565,0.0,99.33,IGV,12.970337360049216,0.0,140.73,IHI,8.40812411405963,0.0,163.19,ITA,16.77137770525466,0.0,168.35,TLT,24.154037935850276,0.0,124.62,0,0.0,0.0,0.0,-691.400045899124,11565,0,152.01500000000001
2017-08-09,FBT,11.907346007045957,0.0,115.7,FDN,18.648057608283565,0.0,98.92,IGV,12.970337360049216,0.0,140.45,IHI,8.40812411405963,0.0,162.82,ITA,16.77137770525466,0.0,168.45,TLT,24.154037935850276,0.0,125.3,0,0.0,0.0,0.0,-691.400045899124,11573,0,151.82500000000002
2017-08-10,FBT,11.907346007045957,0.0,111.75,FDN,18.648057608283565,0.0,96.2,IGV,12.970337360049216,0.0,137.65,IHI,8.40812411405963,0.0,160.79,ITA,16.77137770525466,0.0,166.95,TLT,24.154037935850276,0.0,126.37,0,0.0,0.0,0.0,-691.400045899124,11422,0,148.735
2017-08-11,FBT,11.907346007045957,0.0,113.09,FDN,18.648057608283565,0.0,97.07,IGV,12.970337360049216,0.0,139.08,IHI,8.40812411405963,0.0,161.99,ITA,16.77137770525466,0.0,167.3,TLT,24.154037935850276,0.0,126.43,0,0.0,0.0,0.0,-691.400045899124,11490,0,149.805
