Date,On_Price_QQQ,On_Shares_QQQ,On_Dividend_QQQ,Off_Price_IEI,Off_Shares_IEI,Off_Dividend_IEI,Cash,Capital,InOutCash,Bench
2018-04-17,166.1,48.70942895928842,0.0,120.03,185.17199018123102,0.0,0.0,30316,0,287.01554
2018-04-18,166.44,48.70942895928842,0.0,119.75,185.17199018123102,0.0,0.0,30281,0,286.59553999999997
2018-04-19,164.91,48.70942895928842,0.0,119.63,185.17199018123102,0.0,0.0,30184,0,285.78553999999997
2018-04-20,162.3,48.70942895928842,0.0,119.4,185.17199018123102,0.0,0.0,30015,0,283.82754
2018-04-23,161.89,48.70942895928842,0.0,119.32,185.17199018123102,0.0,0.0,29980,0,283.69754
2018-04-24,158.46,48.70942895928842,0.0,119.28,185.17199018123102,0.0,0.0,29805,0,279.43754
2018-04-25,158.65,48.70942895928842,0.0,119.22,185.17199018123102,0.0,0.0,29803,0,280.04753999999997
2018-04-26,161.99,48.70942895928842,0.0,119.36,185.17199018123102,0.0,0.0,29992,0,282.46754
2018-04-27,162.09,48.70942895928842,0.0,119.46,185.17199018123102,0.0,0.0,30015,0,282.29753999999997
2018-04-30,160.94,55.31397169689361,0.0,119.52,176.51761806473883,0.0,0.0,29999,0,280.88753999999994
2018-05-01,162.78,55.31397169689361,0.0,119.18,176.51761806473883,0.191,0.0,30041,0,280.10754
2018-05-02,161.82,55.31397169689361,0.0,119.26,176.51761806473883,0.0,0.0,30002,0,278.45754
2018-05-03,161.8,55.31397169689361,0.0,119.44,176.51761806473883,0.0,0.0,30033,0,278.44754
2018-05-04,164.87,55.31397169689361,0.0,119.44,176.51761806473883,0.0,0.0,30202,0,281.86753999999996
2018-05-07,166.24,55.31397169689361,0.0,119.4,176.51761806473883,0.0,0.0,30271,0,282.76753999999994
2018-05-08,166.07,55.31397169689361,0.0,119.31,176.51761806473883,0.0,0.0,30246,0,282.76753999999994
2018-05-09,167.88,55.31397169689361,0.0,119.17,176.51761806473883,0.0,0.0,30321,0,284.74753999999996
2018-05-10,169.62,55.31397169689361,0.0,119.25,176.51761806473883,0.0,0.0,30432,0,286.80754
2018-05-11,169.46,55.31397169689361,0.0,119.23,176.51761806473883,0.0,0.0,30419,0,287.88753999999994
2018-05-14,169.75,55.31397169689361,0.0,119.16,176.51761806473883,0.0,0.0,30423,0,288.61753999999996
2018-05-15,167.87,55.31397169689361,0.0,118.8,176.51761806473883,0.0,0.0,30255,0,286.65754
2018-05-16,168.98,55.31397169689361,0.0,118.68,176.51761806473883,0.0,0.0,30296,0,287.31754
2018-05-17,168.33,55.31397169689361,0.0,118.73,176.51761806473883,0.0,0.0,30268,0,287.08754
2018-05-18,167.46,55.31397169689361,0.0,118.96,176.51761806473883,0.0,0.0,30261,0,287.04454
2018-05-21,168.4,55.31397169689361,0.0,118.99,176.51761806473883,0.0,0.0,30318,0,289.98454
2018-05-22,168.18,55.31397169689361,0.0,118.98,176.51761806473883,0.0,0.0,30304,0,288.22454
2018-05-23,169.6,55.31397169689361,0.0,119.28,176.51761806473883,0.0,0.0,30436,0,288.67454
2018-05-24,169.55,55.31397169689361,0.0,119.45,176.51761806473883,0.0,0.0,30463,0,287.95453999999995
2018-05-25,169.72,55.31397169689361,0.0,119.78,176.51761806473883,0.0,0.0,30531,0,287.41454
2018-05-29,168.97,55.31397169689361,0.0,120.57,176.51761806473883,0.0,0.0,30629,0,283.49454
2018-05-30,170.18,55.31397169689361,0.0,120.22,176.51761806473883,0.0,0.0,30634,0,286.74454
2018-05-31,170.07,111.4078589048702,0.0,120.21,97.4007058368439,0.0,0.0,30655,0,284.22454
2018-06-01,172.74,111.4078589048702,0.0,119.68,97.4007058368439,0.20600000000000002,0.0,30901,0,286.40454
2018-06-04,174.3,111.4078589048702,0.0,119.4,97.4007058368439,0.0,0.0,31048,0,288.24454
2018-06-05,174.84,111.4078589048702,0.0,119.62,97.4007058368439,0.0,0.0,31129,0,288.19453999999996
2018-06-06,175.86,111.4078589048702,0.0,119.36,97.4007058368439,0.0,0.0,31217,0,291.56453999999997
2018-06-07,174.43,111.4078589048702,0.0,119.64,97.4007058368439,0.0,0.0,31085,0,292.57453999999996
2018-06-08,174.44,111.4078589048702,0.0,119.54,97.4007058368439,0.0,0.0,31077,0,293.31453999999997
2018-06-11,174.91,111.4078589048702,0.0,119.46,97.4007058368439,0.0,0.0,31121,0,293.43453999999997
2018-06-12,175.83,111.4078589048702,0.0,119.4,97.4007058368439,0.0,0.0,31218,0,293.34454
2018-06-13,175.82,111.4078589048702,0.0,119.28,97.4007058368439,0.0,0.0,31205,0,292.22454
2018-06-14,177.6,111.4078589048702,0.0,119.44,97.4007058368439,0.0,0.0,31419,0,292.03454
2018-06-15,176.98,111.4078589048702,0.0,119.48,97.4007058368439,0.0,0.0,31354,0,291.16053999999997
2018-06-18,176.5,111.4078589048702,0.37799999999999995,119.53,97.4007058368439,0.0,0.0,31305,0,290.15054
2018-06-19,176.0,111.4078589048702,0.0,119.7,97.4007058368439,0.0,0.0,31266,0,287.30053999999996
2018-06-20,177.25,111.4078589048702,0.0,119.52,97.4007058368439,0.0,0.0,31388,0,286.88054
2018-06-21,175.71,111.4078589048702,0.0,119.68,97.4007058368439,0.0,0.0,31232,0,284.92053999999996
2018-06-22,175.32,111.4078589048702,0.0,119.72,97.4007058368439,0.0,0.0,31192,0,286.11053999999996
2018-06-25,171.37,111.4078589048702,0.0,119.83,97.4007058368439,0.0,0.0,30763,0,282.73053999999996
2018-06-26,172.07,111.4078589048702,0.0,119.87,97.4007058368439,0.0,0.0,30845,0,283.09054
2018-06-27,169.73,111.4078589048702,0.0,120.13,97.4007058368439,0.0,0.0,30610,0,281.54053999999996
2018-06-28,171.19,111.4078589048702,0.0,120.03,97.4007058368439,0.0,0.0,30762,0,282.50054
2018-06-29,171.65,90.97631161984273,0.0,120.0,127.08349030298182,0.0,0.0,30866,0,283.15054
2018-07-02,172.8,90.97631161984273,0.0,119.7,127.08349030298182,0.193,0.0,30932,0,283.15054
2018-07-03,170.8,90.97631161984273,0.0,119.87,127.08349030298182,0.0,0.0,30772,0,282.08054
2018-07-05,172.92,90.97631161984273,0.0,119.84,127.08349030298182,0.0,0.0,30961,0,283.97053999999997
2018-07-06,175.61,90.97631161984273,0.0,119.94,127.08349030298182,0.0,0.0,31218,0,285.02054
2018-07-09,177.19,90.97631161984273,0.0,119.78,127.08349030298182,0.0,0.0,31342,0,288.26054
2018-07-10,177.32,90.97631161984273,0.0,119.69,127.08349030298182,0.0,0.0,31342,0,289.65054
2018-07-11,176.42,90.97631161984273,0.0,119.83,127.08349030298182,0.0,0.0,31278,0,287.50054
2018-07-12,179.46,90.97631161984273,0.0,119.8,127.08349030298182,0.0,0.0,31551,0,289.72053999999997
2018-07-13,179.61,90.97631161984273,0.0,119.95,127.08349030298182,0.0,0.0,31583,0,290.62053999999995
2018-07-16,179.18,90.97631161984273,0.0,119.8,127.08349030298182,0.0,0.0,31525,0,291.09054
2018-07-17,180.27,90.97631161984273,0.0,119.76,127.08349030298182,0.0,0.0,31619,0,291.70054
2018-07-18,179.93,90.97631161984273,0.0,119.72,127.08349030298182,0.0,0.0,31583,0,292.45054
2018-07-19,179.03,90.97631161984273,0.0,119.95,127.08349030298182,0.0,0.0,31531,0,291.21054
2018-07-20,178.99,90.97631161984273,0.0,119.79,127.08349030298182,0.0,0.0,31507,0,291.17854
2018-07-23,179.56,90.97631161984273,0.0,119.5,127.08349030298182,0.0,0.0,31522,0,290.99854
2018-07-24,180.3,90.97631161984273,0.0,119.51,127.08349030298182,0.0,0.0,31590,0,292.94854
2018-07-25,182.82,90.97631161984273,0.0,119.45,127.08349030298182,0.0,0.0,31812,0,294.75854
2018-07-26,180.05,90.97631161984273,0.0,119.33,127.08349030298182,0.0,0.0,31545,0,295.85854
2018-07-27,177.62,90.97631161984273,0.0,119.45,127.08349030298182,0.0,0.0,31339,0,294.99854
2018-07-30,175.11,90.97631161984273,0.0,119.41,127.08349030298182,0.0,0.0,31105,0,293.60854
2018-07-31,176.45,80.04024868752268,0.0,119.47,143.4109591794655,0.0,0.0,31256,0,294.90853999999996
2018-08-01,177.12,80.04024868752268,0.0,119.11,143.4109591794655,0.21100000000000002,0.0,31258,0,293.84854
2018-08-02,179.53,80.04024868752268,0.0,119.26,143.4109591794655,0.0,0.0,31472,0,293.83853999999997
2018-08-03,180.08,80.04024868752268,0.0,119.47,143.4109591794655,0.0,0.0,31546,0,295.12854
