Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2011-11-14,VUSTX,1062.9235689648788,0.0,13.44,0.0,14285,0,59.39
2011-11-15,VUSTX,1062.9235689648788,0.0,13.43,0.0,14275,0,60.03
2011-11-16,VUSTX,1062.9235689648788,0.0,13.53,0.0,14381,0,59.07
2011-11-17,VUSTX,1062.9235689648788,0.0,13.63,0.0,14487,0,57.73
2011-11-18,VUSTX,1062.9235689648788,0.0,13.61,0.0,14466,0,57.3
2011-11-21,VUSTX,1062.9235689648788,0.0,13.69,0.0,14551,0,56.24
2011-11-22,VUSTX,1062.9235689648788,0.0,13.8,0.0,14668,0,56.42
2011-11-23,VUSTX,1062.9235689648788,0.0,13.93,0.0,14806,0,55.19
2011-11-25,VUSTX,1062.9235689648788,0.0,13.75,0.0,14615,0,54.78
2011-11-28,VUSTX,1062.9235689648788,0.0,13.74,0.0,14604,0,56.62
2011-11-29,VUSTX,1062.9235689648788,0.0,13.66,0.0,14519,0,56.28
2011-11-30,VUSTX,1065.0859439703854,0.0,13.46,0.0,14336,0,58.29
2011-12-01,VUSTX,1065.0859439703854,0.0,13.39,0.0,14261,0,58.68
2011-12-02,VUSTX,1065.0859439703854,0.0,13.55,0.0,14431,0,58.519999999999996
2011-12-05,VUSTX,1065.0859439703854,0.0,13.54,0.0,14421,0,59.14
2011-12-06,VUSTX,1065.0859439703854,0.0,13.43,0.0,14304,0,58.98
2011-12-07,VUSTX,1065.0859439703854,0.0,13.49,0.0,14368,0,58.98
2011-12-08,VUSTX,1065.0859439703854,0.0,13.63,0.0,14517,0,58.019999999999996
2011-12-09,VUSTX,1065.0859439703854,0.0,13.39,0.0,14261,0,58.92
2011-12-12,VUSTX,1065.0859439703854,0.0,13.51,0.0,14389,0,58.28
2011-12-13,VUSTX,1065.0859439703854,0.0,13.62,0.0,14506,0,57.66
2011-12-14,VUSTX,1065.0859439703854,0.0,13.84,0.0,14740,0,56.79
2011-12-15,VUSTX,1065.0859439703854,0.0,13.8,0.0,14698,0,56.64
2011-12-16,VUSTX,1065.0859439703854,0.0,13.93,0.0,14836,0,56.921
2011-12-19,VUSTX,1065.0859439703854,0.0,14.07,0.0,14985,0,56.381
2011-12-20,VUSTX,1065.0859439703854,0.0,13.78,0.0,14676,0,57.991
2011-12-21,VUSTX,1065.0859439703854,0.0,13.62,0.0,14506,0,57.191
2011-12-22,VUSTX,1065.0859439703854,0.0,13.66,0.0,14549,0,57.661
2011-12-23,VUSTX,1065.0859439703854,0.0,13.5,0.0,14378,0,58.141
2011-12-27,VUSTX,1065.0859439703854,0.0,13.57,0.0,14453,0,58.35
2011-12-28,VUSTX,1065.0859439703854,0.0,13.79,0.0,14687,0,57.7
2011-12-29,VUSTX,1065.0859439703854,0.508,13.31,0.0,14176,0,58.1
2011-12-30,VUSTX,1103.8476957522153,0.0,13.34,0.0,14725,0,57.94
2012-01-03,VUSTX,1103.8476957522153,0.0,13.17,0.0,14537,0,59.01
2012-01-04,VUSTX,1103.8476957522153,0.0,13.05,0.0,14405,0,59.25
2012-01-05,VUSTX,1103.8476957522153,0.0,13.02,0.0,14372,0,59.72
2012-01-06,VUSTX,1103.8476957522153,0.0,13.1,0.0,14460,0,59.92
2012-01-09,VUSTX,1103.8476957522153,0.0,13.09,0.0,14449,0,59.73
2012-01-10,VUSTX,1103.8476957522153,0.0,13.07,0.0,14427,0,60.15
2012-01-11,VUSTX,1103.8476957522153,0.0,13.22,0.0,14592,0,60.269999999999996
2012-01-12,VUSTX,1103.8476957522153,0.0,13.2,0.0,14570,0,60.5
2012-01-13,VUSTX,1103.8476957522153,0.0,13.32,0.0,14703,0,60.29
2012-01-17,VUSTX,1103.8476957522153,0.0,13.36,0.0,14747,0,60.82
2012-01-18,VUSTX,1103.8476957522153,0.0,13.23,0.0,14603,0,61.6
2012-01-19,VUSTX,1103.8476957522153,0.0,13.07,0.0,14427,0,61.97
2012-01-20,VUSTX,1103.8476957522153,0.0,12.94,0.0,14283,0,61.88
2012-01-23,VUSTX,1103.8476957522153,0.0,12.86,0.0,14195,0,61.9
2012-01-24,VUSTX,1103.8476957522153,0.0,12.87,0.0,14206,0,61.79
2012-01-25,VUSTX,1103.8476957522153,0.0,12.87,0.0,14206,0,62.54
2012-01-26,VUSTX,1103.8476957522153,0.0,13.01,0.0,14361,0,62.33
2012-01-27,VUSTX,1103.8476957522153,0.0,13.05,0.0,14405,0,62.51
2012-01-30,VUSTX,1103.8476957522153,0.0,13.19,0.0,14559,0,62.56
2012-01-31,VUSTX,1106.0439335739352,0.0,13.32,0.0,14732,0,62.64
2012-02-01,VUSTX,1106.0439335739352,0.0,13.18,0.0,14577,0,63.13
2012-02-02,VUSTX,1106.0439335739352,0.0,13.19,0.0,14588,0,63.32
2012-02-03,VUSTX,1106.0439335739352,0.0,12.94,0.0,14312,0,64.16
2012-02-06,VUSTX,1106.0439335739352,0.0,13.04,0.0,14422,0,64.11
2012-02-07,VUSTX,1106.0439335739352,0.0,12.91,0.0,14279,0,64.24000000000001
2012-02-08,VUSTX,1106.0439335739352,0.0,12.91,0.0,14279,0,64.57000000000001
2012-02-09,VUSTX,1106.0439335739352,0.0,12.83,0.0,14190,0,65.02
2012-02-10,VUSTX,1106.0439335739352,0.0,12.97,0.0,14345,0,64.58
2012-02-13,VUSTX,1106.0439335739352,0.0,12.98,0.0,14356,0,65.16
2012-02-14,VUSTX,1106.0439335739352,0.0,13.05,0.0,14433,0,65.32000000000001
2012-02-15,VUSTX,1106.0439335739352,0.0,13.03,0.0,14411,0,64.88000000000001
2012-02-16,VUSTX,1106.0439335739352,0.0,12.93,0.0,14301,0,65.74000000000001
2012-02-17,VUSTX,1106.0439335739352,0.0,12.92,0.0,14290,0,65.54
2012-02-21,VUSTX,1106.0439335739352,0.0,12.81,0.0,14168,0,65.72
2012-02-22,VUSTX,1106.0439335739352,0.0,12.93,0.0,14301,0,65.43
2012-02-23,VUSTX,1106.0439335739352,0.0,12.95,0.0,14323,0,65.85000000000001
2012-02-24,VUSTX,1106.0439335739352,0.0,13.0,0.0,14378,0,66.07000000000001
2012-02-27,VUSTX,1106.0439335739352,0.0,13.11,0.0,14500,0,66.16
2012-02-28,VUSTX,1106.0439335739352,0.0,13.08,0.0,14467,0,66.81
2012-02-29,VUSTX,1108.2205474606592,0.0,13.01,0.0,14417,0,66.52
2012-03-01,VUSTX,1108.2205474606592,0.0,12.89,0.0,14284,0,67.03
2012-03-02,VUSTX,1108.2205474606592,0.0,12.98,0.0,14384,0,66.98
2012-03-05,VUSTX,1108.2205474606592,0.0,12.91,0.0,14307,0,66.31
2012-03-06,VUSTX,1108.2205474606592,0.0,13.03,0.0,14440,0,65.68
2012-03-07,VUSTX,1108.2205474606592,0.0,12.97,0.0,14373,0,66.17
2012-03-08,VUSTX,1108.2205474606592,0.0,12.86,0.0,14251,0,66.86
2012-03-09,VUSTX,1108.2205474606592,0.0,12.86,0.0,14251,0,67.13
2012-03-12,VUSTX,1108.2205474606592,0.0,12.87,0.0,14262,0,67.16
2012-03-13,VUSTX,1108.2205474606592,0.0,12.67,0.0,14041,0,68.37
2012-03-14,VUSTX,1108.2205474606592,0.0,12.38,0.0,13719,0,68.6
2012-03-15,VUSTX,1108.2205474606592,0.0,12.39,0.0,13730,0,68.79
2012-03-16,VUSTX,1108.2205474606592,0.0,12.4,0.0,13741,0,68.743
