Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2007-07-20,VEURX,2216.164616469104,0.0,41.49,0.0,91948,0,168.96
2007-07-23,VEURX,2216.164616469104,0.0,41.67,0.0,92347,0,169.65
2007-07-24,VEURX,2216.164616469104,0.0,40.77,0.0,90353,0,166.83
2007-07-25,VEURX,2216.164616469104,0.0,40.56,0.0,89887,0,167.48
2007-07-26,VEURX,2216.164616469104,0.0,39.26,0.0,87006,0,164.22
2007-07-27,VEURX,2216.164616469104,0.0,38.64,0.0,85632,0,162.05
2007-07-30,VEURX,2216.164616469104,0.0,39.25,0.0,86984,0,163.43
2007-07-31,VEURX,2216.150653534349,0.0,39.39,0.0,87294,0,161.71
2007-08-01,VEURX,2216.150653534349,0.0,39.41,0.0,87338,0,162.69
2007-08-02,VEURX,2216.150653534349,0.0,39.65,0.0,87870,0,163.32
2007-08-03,VEURX,2216.150653534349,0.0,38.69,0.0,85742,0,159.72
2007-08-06,VEURX,2216.150653534349,0.0,39.47,0.0,87471,0,162.91
2007-08-07,VEURX,2216.150653534349,0.0,39.52,0.0,87582,0,163.74
2007-08-08,VEURX,2216.150653534349,0.0,40.33,0.0,89377,0,165.71
2007-08-09,VEURX,2216.150653534349,0.0,38.78,0.0,85942,0,161.64000000000001
2007-08-10,VEURX,2216.150653534349,0.0,38.36,0.0,85011,0,161.69
2007-08-13,VEURX,2216.150653534349,0.0,38.52,0.0,85366,0,161.64000000000001
2007-08-14,VEURX,2216.150653534349,0.0,37.87,0.0,83925,0,159.23
2007-08-15,VEURX,2216.150653534349,0.0,37.16,0.0,82352,0,157.43
2007-08-16,VEURX,2216.150653534349,0.0,36.71,0.0,81354,0,157.86
2007-08-17,VEURX,2216.150653534349,0.0,37.51,0.0,83127,0,161.06
2007-08-20,VEURX,2216.150653534349,0.0,37.59,0.0,83305,0,161.02
2007-08-21,VEURX,2216.150653534349,0.0,37.47,0.0,83039,0,161.17000000000002
2007-08-22,VEURX,2216.150653534349,0.0,38.4,0.0,85100,0,162.74
2007-08-23,VEURX,2216.150653534349,0.0,38.47,0.0,85255,0,162.6
2007-08-24,VEURX,2216.150653534349,0.0,39.15,0.0,86762,0,164.17000000000002
2007-08-27,VEURX,2216.150653534349,0.0,38.85,0.0,86097,0,163.0
2007-08-28,VEURX,2216.150653534349,0.0,37.79,0.0,83748,0,159.83
2007-08-29,VEURX,2216.150653534349,0.0,38.88,0.0,86163,0,162.76
2007-08-30,VEURX,2216.150653534349,0.0,38.65,0.0,85654,0,162.21
2007-08-31,VEURX,2216.1366799571133,0.0,39.36,0.0,87227,0,163.72
2007-09-04,VEURX,2216.1366799571133,0.0,39.77,0.0,88135,0,165.14000000000001
2007-09-05,VEURX,2216.1366799571133,0.0,39.17,0.0,86806,0,163.62
2007-09-06,VEURX,2216.1366799571133,0.0,39.38,0.0,87271,0,164.23
2007-09-07,VEURX,2216.1366799571133,0.0,38.76,0.0,85897,0,161.92000000000002
2007-09-10,VEURX,2216.1366799571133,0.0,38.6,0.0,85542,0,161.75
2007-09-11,VEURX,2216.1366799571133,0.0,39.32,0.0,87138,0,163.58
2007-09-12,VEURX,2216.1366799571133,0.0,39.41,0.0,87337,0,163.62
2007-09-13,VEURX,2216.1366799571133,0.0,39.74,0.0,88069,0,164.78
2007-09-14,VEURX,2216.1366799571133,0.0,39.3,0.0,87094,0,164.8
2007-09-17,VEURX,2216.1366799571133,0.0,38.7,0.0,85764,0,164.1
2007-09-18,VEURX,2216.1366799571133,0.0,40.08,0.0,88822,0,168.09
2007-09-19,VEURX,2216.1366799571133,0.0,40.45,0.0,89642,0,168.95
2007-09-20,VEURX,2216.1366799571133,0.0,40.49,0.0,89731,0,168.03
2007-09-21,VEURX,2216.1366799571133,0.0,40.83,0.0,90484,0,168.67000000000002
2007-09-24,VEURX,2216.1366799571133,0.0,40.69,0.0,90174,0,167.93
2007-09-25,VEURX,2216.1366799571133,0.0,40.64,0.0,90063,0,167.89000000000001
2007-09-26,VEURX,2216.1366799571133,0.0,40.76,0.0,90329,0,168.67000000000002
2007-09-27,VEURX,2216.1366799571133,0.0,41.27,0.0,91459,0,169.22
2007-09-28,VEURX,2216.1234013477456,0.0,41.42,0.0,91791,0,168.79000000000002
2007-10-01,VEURX,2216.1234013477456,0.0,41.88,0.0,92811,0,170.66
2007-10-02,VEURX,2216.1234013477456,0.0,41.73,0.0,92478,0,170.63
2007-10-03,VEURX,2216.1234013477456,0.0,41.49,0.0,91946,0,170.01000000000002
2007-10-04,VEURX,2216.1234013477456,0.0,41.75,0.0,92523,0,170.31
2007-10-05,VEURX,2216.1234013477456,0.0,42.12,0.0,93343,0,171.71
2007-10-08,VEURX,2216.1234013477456,0.0,41.72,0.0,92456,0,171.24
2007-10-09,VEURX,2216.1234013477456,0.0,42.25,0.0,93631,0,172.4
2007-10-10,VEURX,2216.1234013477456,0.0,42.24,0.0,93609,0,172.17000000000002
2007-10-11,VEURX,2216.1234013477456,0.0,42.25,0.0,93631,0,171.43
2007-10-12,VEURX,2216.1234013477456,0.0,42.6,0.0,94406,0,172.11
2007-10-15,VEURX,2216.1234013477456,0.0,42.28,0.0,93697,0,170.91
2007-10-16,VEURX,2216.1234013477456,0.0,41.77,0.0,92567,0,169.97
2007-10-17,VEURX,2216.1234013477456,0.0,42.19,0.0,93498,0,170.23000000000002
2007-10-18,VEURX,2216.1234013477456,0.0,42.26,0.0,93653,0,170.12
2007-10-19,VEURX,2216.1234013477456,0.0,41.49,0.0,91946,0,166.49
2007-10-22,VEURX,2216.1234013477456,0.0,41.17,0.0,91237,0,167.01000000000002
2007-10-23,VEURX,2216.1234013477456,0.0,41.96,0.0,92988,0,168.24
2007-10-24,VEURX,2216.1234013477456,0.0,41.83,0.0,92700,0,167.9
2007-10-25,VEURX,2216.1234013477456,0.0,42.05,0.0,93187,0,167.76000000000002
2007-10-26,VEURX,2216.1234013477456,0.0,42.77,0.0,94783,0,169.69
2007-10-29,VEURX,2216.1234013477456,0.0,42.97,0.0,95226,0,170.23000000000002
2007-10-30,VEURX,2216.1234013477456,0.0,42.71,0.0,94650,0,169.31
2007-10-31,VEURX,2216.110737290642,0.0,43.43,0.0,96245,0,171.01000000000002
2007-11-01,VEURX,2216.110737290642,0.0,42.16,0.0,93431,0,167.28
2007-11-02,VEURX,2216.110737290642,0.0,42.61,0.0,94428,0,167.39000000000001
2007-11-05,VEURX,2216.110737290642,0.0,42.07,0.0,93231,0,166.71
2007-11-06,VEURX,2216.110737290642,0.0,42.73,0.0,94694,0,168.38
2007-11-07,VEURX,2216.110737290642,0.0,41.89,0.0,92832,0,164.34
2007-11-08,VEURX,2216.110737290642,0.0,42.34,0.0,93830,0,164.26000000000002
2007-11-09,VEURX,2216.110737290642,0.0,41.5,0.0,91968,0,162.32
2007-11-12,VEURX,2216.110737290642,0.0,40.76,0.0,90328,0,160.98000000000002
2007-11-13,VEURX,2216.110737290642,0.0,41.89,0.0,92832,0,164.89000000000001
2007-11-14,VEURX,2216.110737290642,0.0,41.58,0.0,92145,0,163.96
2007-11-15,VEURX,2216.110737290642,0.0,40.95,0.0,90749,0,162.17000000000002
2007-11-16,VEURX,2216.110737290642,0.0,41.19,0.0,91281,0,162.88
2007-11-19,VEURX,2216.110737290642,0.0,40.06,0.0,88777,0,160.53
2007-11-20,VEURX,2216.110737290642,0.0,40.85,0.0,90528,0,161.13
2007-11-21,VEURX,2216.110737290642,0.0,40.09,0.0,88843,0,159.02
2007-11-23,VEURX,2216.110737290642,0.0,41.09,0.0,91059,0,161.24
2007-11-26,VEURX,2216.110737290642,0.0,40.36,0.0,89442,0,158.15
2007-11-27,VEURX,2216.110737290642,0.0,40.76,0.0,90328,0,160.09
2007-11-28,VEURX,2216.110737290642,0.0,41.87,0.0,92788,0,163.9
2007-11-29,VEURX,2216.110737290642,0.0,41.66,0.0,92323,0,163.98000000000002
2007-11-30,VEURX,2216.097585688538,0.0,41.82,0.0,92677,0,165.03
2007-12-03,VEURX,2216.097585688538,0.0,41.63,0.0,92256,0,164.23000000000002
2007-12-04,VEURX,2216.097585688538,0.0,41.34,0.0,91613,0,163.34
2007-12-05,VEURX,2216.097585688538,0.0,41.73,0.0,92477,0,165.47
2007-12-06,VEURX,2216.097585688538,0.0,42.1,0.0,93297,0,167.54000000000002
2007-12-07,VEURX,2216.097585688538,0.0,42.2,0.0,93519,0,167.3
2007-12-10,VEURX,2216.097585688538,0.0,42.58,0.0,94361,0,168.34
2007-12-11,VEURX,2216.097585688538,0.0,41.54,0.0,92056,0,164.8
2007-12-12,VEURX,2216.097585688538,0.0,42.31,0.0,93763,0,165.65
2007-12-13,VEURX,2216.097585688538,0.0,41.52,0.0,92012,0,165.82
2007-12-14,VEURX,2216.097585688538,0.0,40.66,0.0,90106,0,163.93
2007-12-17,VEURX,2216.097585688538,0.0,39.84,0.0,88289,0,161.9
2007-12-18,VEURX,2216.097585688538,0.0,40.18,0.0,89042,0,162.74
2007-12-19,VEURX,2216.097585688538,0.0,39.81,0.0,88222,0,162.56
2007-12-20,VEURX,2216.097585688538,0.0,39.93,0.0,88488,0,163.25
2007-12-21,VEURX,2216.097585688538,1.215,39.33,0.0,87159,0,165.52
2007-12-24,VEURX,2216.097585688538,0.0,39.56,0.0,87668,0,166.62
2007-12-26,VEURX,2216.097585688538,0.0,39.72,0.0,88023,0,166.74
2007-12-27,VEURX,2216.097585688538,0.0,39.78,0.0,88156,0,164.81
2007-12-28,VEURX,2216.097585688538,0.0,40.11,0.0,88887,0,165.01000000000002
2007-12-31,VUSTX,7871.665688933028,0.0,11.5,0.0,90524,0,164.08
2008-01-02,VUSTX,7871.665688933028,0.0,11.66,0.0,91783,0,162.15
2008-01-03,VUSTX,7871.665688933028,0.0,11.64,0.0,91626,0,162.15
2008-01-04,VUSTX,7871.665688933028,0.0,11.66,0.0,91783,0,158.88
2008-01-07,VUSTX,7871.665688933028,0.0,11.69,0.0,92019,0,159.3
2008-01-08,VUSTX,7871.665688933028,0.0,11.67,0.0,91862,0,156.95000000000002
2008-01-09,VUSTX,7871.665688933028,0.0,11.73,0.0,92334,0,158.70000000000002
2008-01-10,VUSTX,7871.665688933028,0.0,11.58,0.0,91153,0,159.73000000000002
2008-01-11,VUSTX,7871.665688933028,0.0,11.66,0.0,91783,0,157.97
2008-01-14,VUSTX,7871.665688933028,0.0,11.69,0.0,92019,0,159.37
2008-01-15,VUSTX,7871.665688933028,0.0,11.79,0.0,92806,0,156.12
2008-01-16,VUSTX,7871.665688933028,0.0,11.76,0.0,92570,0,155.41000000000003
2008-01-17,VUSTX,7871.665688933028,0.0,11.84,0.0,93200,0,151.74
2008-01-18,VUSTX,7871.665688933028,0.0,11.8,0.0,92885,0,151.0
2008-01-22,VUSTX,7871.665688933028,0.0,11.92,0.0,93830,0,149.64
2008-01-23,VUSTX,7871.665688933028,0.0,11.88,0.0,93515,0,152.23000000000002
2008-01-24,VUSTX,7871.665688933028,0.0,11.74,0.0,92413,0,153.47000000000003
2008-01-25,VUSTX,7871.665688933028,0.0,11.83,0.0,93121,0,151.5
2008-01-28,VUSTX,7871.665688933028,0.0,11.83,0.0,93121,0,153.65
2008-01-29,VUSTX,7871.665688933028,0.0,11.76,0.0,92570,0,154.43
2008-01-30,VUSTX,7871.665688933028,0.0,11.7,0.0,92098,0,153.84
2008-01-31,VUSTX,7898.125549586237,0.0,11.76,0.0,92881,0,155.95
2008-02-01,VUSTX,7898.125549586237,0.0,11.81,0.0,93276,0,157.51000000000002
2008-02-04,VUSTX,7898.125549586237,0.0,11.75,0.0,92802,0,156.16000000000003
2008-02-05,VUSTX,7898.125549586237,0.0,11.8,0.0,93197,0,152.10000000000002
2008-02-06,VUSTX,7898.125549586237,0.0,11.76,0.0,92881,0,151.21
2008-02-07,VUSTX,7898.125549586237,0.0,11.61,0.0,91697,0,152.21
2008-02-08,VUSTX,7898.125549586237,0.0,11.7,0.0,92408,0,151.69
2008-02-11,VUSTX,7898.125549586237,0.0,11.74,0.0,92723,0,152.42000000000002
2008-02-12,VUSTX,7898.125549586237,0.0,11.66,0.0,92092,0,153.32
2008-02-13,VUSTX,7898.125549586237,0.0,11.58,0.0,91460,0,155.06
2008-02-14,VUSTX,7898.125549586237,0.0,11.45,0.0,90433,0,153.37
2008-02-15,VUSTX,7898.125549586237,0.0,11.53,0.0,91065,0,153.48000000000002
2008-02-19,VUSTX,7898.125549586237,0.0,11.42,0.0,90196,0,153.38
2008-02-20,VUSTX,7898.125549586237,0.0,11.42,0.0,90196,0,154.42000000000002
2008-02-21,VUSTX,7898.125549586237,0.0,11.55,0.0,91223,0,152.85000000000002
2008-02-22,VUSTX,7898.125549586237,0.0,11.52,0.0,90986,0,153.84
2008-02-25,VUSTX,7898.125549586237,0.0,11.4,0.0,90038,0,155.57
2008-02-26,VUSTX,7898.125549586237,0.0,11.42,0.0,90196,0,156.45
2008-02-27,VUSTX,7898.125549586237,0.0,11.43,0.0,90275,0,156.36
2008-02-28,VUSTX,7898.125549586237,0.0,11.6,0.0,91618,0,155.23000000000002
2008-02-29,VUSTX,7922.861164618527,0.0,11.76,0.0,93172,0,151.82
2008-03-03,VUSTX,7922.861164618527,0.0,11.75,0.0,93093,0,151.88
2008-03-04,VUSTX,7922.861164618527,0.0,11.65,0.0,92301,0,151.46
2008-03-05,VUSTX,7922.861164618527,0.0,11.54,0.0,91429,0,152.16000000000003
2008-03-06,VUSTX,7922.861164618527,0.0,11.59,0.0,91825,0,149.47000000000003
2008-03-07,VUSTX,7922.861164618527,0.0,11.63,0.0,92142,0,148.45
2008-03-10,VUSTX,7922.861164618527,0.0,11.76,0.0,93172,0,146.62
2008-03-11,VUSTX,7922.861164618527,0.0,11.62,0.0,92063,0,150.99
2008-03-12,VUSTX,7922.861164618527,0.0,11.81,0.0,93568,0,149.92000000000002
2008-03-13,VUSTX,7922.861164618527,0.0,11.72,0.0,92855,0,150.55
2008-03-14,VUSTX,7922.861164618527,0.0,11.85,0.0,93885,0,148.02
2008-03-17,VUSTX,7922.861164618527,0.0,11.89,0.0,94202,0,146.97000000000003
2008-03-18,VUSTX,7922.861164618527,0.0,11.85,0.0,93885,0,151.98000000000002
2008-03-19,VUSTX,7922.861164618527,0.0,11.96,0.0,94757,0,148.99
2008-03-20,VUSTX,7922.861164618527,0.0,12.03,0.0,95312,0,151.87
2008-03-24,VUSTX,7922.861164618527,0.0,11.78,0.0,93331,0,153.75
2008-03-25,VUSTX,7922.861164618527,0.0,11.84,0.0,93806,0,154.04000000000002
2008-03-26,VUSTX,7922.861164618527,0.0,11.81,0.0,93568,0,152.95
2008-03-27,VUSTX,7922.861164618527,0.016,11.73,0.0,92935,0,151.55
2008-03-28,VUSTX,7922.861164618527,0.0,11.78,0.0,93331,0,150.59
2008-03-31,VUSTX,7959.0104457428415,0.0,11.82,0.0,94075,0,151.28
2008-04-01,VUSTX,7959.0104457428415,0.0,11.67,0.0,92881,0,155.65
2008-04-02,VUSTX,7959.0104457428415,0.0,11.68,0.0,92961,0,155.43
2008-04-03,VUSTX,7959.0104457428415,0.0,11.68,0.0,92961,0,155.59
2008-04-04,VUSTX,7959.0104457428415,0.0,11.81,0.0,93995,0,155.69
2008-04-07,VUSTX,7959.0104457428415,0.0,11.74,0.0,93438,0,155.89000000000001
2008-04-08,VUSTX,7959.0104457428415,0.0,11.73,0.0,93359,0,155.29000000000002
2008-04-09,VUSTX,7959.0104457428415,0.0,11.84,0.0,94234,0,154.28
2008-04-10,VUSTX,7959.0104457428415,0.0,11.79,0.0,93836,0,154.84
2008-04-11,VUSTX,7959.0104457428415,0.0,11.85,0.0,94314,0,152.3
2008-04-14,VUSTX,7959.0104457428415,0.0,11.8,0.0,93916,0,151.88
2008-04-15,VUSTX,7959.0104457428415,0.0,11.73,0.0,93359,0,152.45000000000002
2008-04-16,VUSTX,7959.0104457428415,0.0,11.59,0.0,92244,0,155.25
2008-04-17,VUSTX,7959.0104457428415,0.0,11.54,0.0,91846,0,155.34
2008-04-18,VUSTX,7959.0104457428415,0.0,11.53,0.0,91767,0,157.61
2008-04-21,VUSTX,7959.0104457428415,0.0,11.58,0.0,92165,0,157.42000000000002
2008-04-22,VUSTX,7959.0104457428415,0.0,11.59,0.0,92244,0,156.29000000000002
2008-04-23,VUSTX,7959.0104457428415,0.0,11.57,0.0,92085,0,156.66
2008-04-24,VUSTX,7959.0104457428415,0.0,11.48,0.0,91369,0,157.48000000000002
2008-04-25,VUSTX,7959.0104457428415,0.0,11.43,0.0,90971,0,158.31
2008-04-28,VUSTX,7959.0104457428415,0.0,11.46,0.0,91210,0,158.18
2008-04-29,VUSTX,7959.0104457428415,0.0,11.5,0.0,91528,0,157.68
2008-04-30,VUSTX,7985.607651992863,0.0,11.56,0.0,92313,0,157.20000000000002
2008-05-01,VUSTX,7985.607651992863,0.0,11.57,0.0,92393,0,159.41
2008-05-02,VUSTX,7985.607651992863,0.0,11.44,0.0,91355,0,159.83
2008-05-05,VUSTX,7985.607651992863,0.0,11.45,0.0,91435,0,159.25
